song_id,norm_title,norm_artist,yt_video_id,yt_title,score
6ceefc8d8a7ea4110a096c2b9c1be5c1833ceb477b6231e2f8e73ed15a5c8598,locked out of heaven,bruno mars,zuaBRqUBhyw,Locked out of Heaven,0.7
bca95bfb3a30c19a681f43c3250f411ebbf3fbd539c295562e7f55fca3965df3,diamonds,rihanna,4mVo93E9wpU,Diamonds,0.7
6b8be6f0c57b5e6a364d976827658daa9f7bc52f4ec2e4b49038ca2b14006e6c,ho hey,the lumineers,SuZytYa71lk,Ho Hey,0.7
c574f4a583f6c4a8f157e92652df1acdadd4f1a4d8a73d35717f6325e08876de,beauty and a beat,justin bieber,aWkPBCF8rFU,Beauty and a Beat (feat. Nicki Minaj),0.7
59ef3cd65ebda89faf57c8afbca9c648e7eaa5826e42c78d3576fd6a9cafcd3c,one more night,maroon 5,d_3voqjDxAg,One More Night,0.7
df73dcd286187a9349e95b6be36f2fc97c6be81b690d17edcd315b43d3e672ed,i cry,flo rida,GdtDNz461U4,I Cry,0.7
30cea529cf392c71595ef4009362ac6f3ec62a6f8e723bbcb070f6ba22f1d3e9,home,phillip phillips,9Fxfzqn--GU,Home,0.7
b7b10162cd78bce3c776cb26e2e13366927da9c246d8ef171d3b571cf2056945,girl on fire,alicia keys,mVuSfxqpZa4,Girl on Fire,0.7
361543155ba029a233ea21ef06bb3dbde53c1c2a8fd786c29b9cc07a68bcd903,the a team,ed sheeran,WYABDdnBu0w,The A Team,0.7
1e53acc392f1e77265c44a706c557be4f1d4ac53fe6857db6646be7e4cef84e3,gangnam style,psy,4AgDYTuZWOw,Gangnam Style,0.7
5c67d8ce93ce2d3dd678011f69feb8ef3ccd712e8287e4a1e888a4b49107f561,all i want for christmas is you,mariah carey,fRyhqobl0sk,All I Want for Christmas Is You,0.7
d25f5db561d20bc53eb839aab9b5f35c0c5abc635674864e2bea6c66a336cee2,cruise,florida georgia line,fmgmJLE-MqI,Cruise,0.7
69a38e10aed8983c7ad235adb6fba5872dd788a0bafc23fa17c564b4948cc0ec,adorn,miguel,I7eUlYgyn9I,Adorn,0.7
87a1ec9e6da1bb2f4da8cfa969bb590b70cb5663fbc0fcafbde49160c8f7b6c4,sweet nothing,calvin harris,Q2-TlwRRppE,Sweet Nothing (feat. Florence Welch),0.7
ae9ec31bf15602ac33ff139ac552835484194b56b4ecb430c6c41744b94016fd,too close,alex clare,BXWzpnHXYOw,Too Close,0.7
4d7689f9d07e8e588c371836e4087c76ac6a070ccb5be4a18d9eec6af2fa6969,we are never ever getting back together,taylor swift,65Q7EdWnjqM,We Are Never Ever Getting Back Together,0.7
150c4964f4503361608697d828aeb64d5cb5d65ccf75b397d93b2cc47cfdf872,catch my breath,kelly clarkson,CxYdbFdpXxs,Catch My Breath,0.7
2336ce172b2da9a654b692f7f5a34d3480b42ecb7afc9caa7db5cd66cc1570de,va va voom,nicki minaj,wdlBoRko9W0,Va Va Voom,0.7
cae90c4cee74a95be90a2841c454cfd13464afb25cfd2edacfc07f4090fe92d0,little talks,of monsters and men,gSdjztTxYgk,Little Talks,0.7
2c7511aa06b4c58a0d4215384153b846a75ded6ef112a497aae044277df5d15f,no worries,lil wayne,8mEN518XL9k,No Worries (feat. Detail),0.7
8c5548349cfb5bdcfa39c27de80af8adc736c23836652120f1cf9a129fc7da3e,as long as you love me,justin bieber,Fy29UahP_hQ,As Long as You Love Me (feat. Big Sean),0.7
c0c6096ba933b96cc415a9e04f853db4c21865a234e30e8a32859ec03d5d6b70,wanted,hunter hayes,SQz6mojAiCg,Wanted,0.7
235e717af824d0a6d7974702541e39f5a3847d790df610e4636254ad68ae2a46,hall of fame,the script,snx5qGUtVi8,Hall of Fame (feat. will.i.am),0.7
73867f1833b66e69a78da3d2d80f6183075b1b4ebb7dd67f141027d2d3f979b6,bandz a make her dance,juicy j,JdgcCUVdl6c,Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),0.7
cf12baabeec784ff5ec5310ddc519e2e8cf75561c71bbcc40ecf9fe11e95aa98,thinkin bout you,frank ocean,6JHu3b-pbh8,Thinkin Bout You,0.7
fef8390e015536e8fe176fd7e5b9c9a406d2dbabbaeaebef6be58ff702a1994f,little things,one direction,nVuhPizu-YY,Little Things,0.7
7434da5907e7876f72ebc7ab208a3ba4f89639526250666355f7bb6c7510ce09,call me maybe,carly rae jepsen,k6jscLH3p2g,Call Me Maybe,0.7
7886533600da54b7697dfb685096e5de3cfc2d73395dc64e75c0d34bb92231da,better dig two,the band perry,nJuqAiqT7YE,Better Dig Two,0.7
c788d62ab4b14c717024d0ba8240f7cea8045c49508ec862bb7da3d28ce3b185,lights,ellie goulding,LPVBLA8Kedk,Lights,0.7
bd8ba7747d8c5185effda4efa4ac37d9a88d581819e8020c8b1ad5e1d0424a78,daylight,maroon 5,99Ij6mHmr68,Daylight,0.7
83922d92108a0d970248524b481986f27153ffcbe5e163e33a45b672badee386,anything could happen,ellie goulding,3NgcsHaEBZY,Anything Could Happen,0.7
1201a3de0fc5cbf4cab459f2e22135da7e3badd17c0b9d6697bb955d6a7df591,somebody that i used to know,gotye,xOazTYPrt64,Somebody That I Used To Know (feat. Kimbra),0.7
30bdfc6aedfc536be7556cd9672b141f04d12ae9819ffb50001ef9dff2a0f6eb,goodbye in her eyes,zac brown band,sniMiAKRzqI,Goodbye in Her Eyes,0.7
09ca6e1180d70029798add1b7c668d5d0e03a3177e183563f32e39f6226ff665,radioactive,imagine dragons,R_BO8C05XLA,Radioactive,0.7
bc74cbfb8bebaaa50bf6cbbaf786f81a37738be78b238fef6354eeb60e733a98,feel again,onerepublic,2kinE5w6uw4,Feel Again (With Heartbeats),0.7
1d3843134cfdd5c8b476e790106f1709a31f5b146004bb7526c9980de00b9ef7,til my last day,justin moore,zhg3pfChqYA,Til My Last Day,0.7
79b29d51bb085ad6a59906c8ba180a87c40a0bb9253344464751eb41e9c19804,how country feels,randy houser,fHkiOVY0Tps,How Country Feels,0.7
ab78fabf5913d18d40afb2d1c563a1b8f2b13d2bb73991c2b41ee2b5035efe9e,beer money,kip moore,_x9G1Vryrds,Beer Money,0.7
fbe55ea307003ff8a5fc9b92dd648b507b846d63b68beab6945e1b5fd09415f8,wicked games,the weeknd,IQgkSN_BIsI,Wicked Games,0.7
4d12f521a6a05f9b6475da1578da4d7c0e551cbb4c637c893c17773ffc6ac0ee,birthday song,2 chainz,71cHmpDahh4,Birthday Song (feat. Kanye West),0.7
414f94abca8e3ec9ecfb9914ebec6bfee5cb9de7f211400f7c8df3a82f955135,cry,cassadee pope,w4myrWFPn9A,Cry (The Voice Performance),0.7
5c580822894cefd2246898b3f3d1c76b79c047f5ce40ceef16e1adc9d73c4e27,when i was your man,bruno mars,th92jw2CFOA,When I Was Your Man,0.7
2f3a09fc88c9adea2f5ea3787ec926b2ed4fe3cac208c8528913be5e4b60b872,madness,muse,__oF3wM5s-k,Madness,0.7
7690e94232e5dacf2bc9a0a8f5a8df5e5fb9ab6ce69130a4f91fcdcdbf5506e4,remember you,wiz khalifa,n-l2ZsaWUWs,Remember You,0.7
5481d8598b15e22d997b31e192f7f7a11f22d8324b4b54819e8abca3ffdd4c39,kiss tomorrow goodbye,luke bryan,E3d2J53ZjHA,Kiss Tomorrow Goodbye,0.7
1edb3f7f38598608a95df5bf4bbbedd37b94c8a770b2163b0435b1e1003e5b55,tornado,little big town,1E4pWxFP-sg,Tornado,0.7
e4ff69619872d222356ac197f2d2ac4783cbbc5315789204241dc0dc1b6837dc,love sosa,chief keef,-Zbz64pU8bs,Love Sosa,0.7
ea8635e90010c33c407a2b11d173863bd9da98276fde2320ab3fb6da6a5f1b10,southern comfort zone,brad paisley,ntlhJQJq-zM,Southern Comfort Zone,0.7
77ef91f50f5e3d81961c2eddb93a154435ab2d4aa4c8e950c1e7d82a1a6854fc,poetic justice,kendrick lamar,TbqmJ5K6iNI,Poetic Justice (feat. Drake),0.7
f3c842b1f31bec482171243b14812147a87aa20a35e5133f58993344cdc5b8a5,skyfall,adele,LJzp_mDxaT0,Skyfall,0.7
